iter	Passed	Remaining
0	46	46179
1	46	23289
2	46	15611
3	47	11785
4	47	9500
5	48	7970
6	48	6862
7	48	6039
8	48	5389
9	49	4873
10	49	4449
11	49	4094
12	49	3794
13	50	3540
14	50	3318
15	50	3122
16	51	2949
17	51	2796
18	51	2661
19	51	2537
20	52	2424
21	52	2326
22	52	2236
23	52	2152
24	53	2075
25	53	2010
26	53	1945
27	54	1884
28	54	1827
29	54	1773
30	55	1726
31	55	1685
32	56	1647
33	56	1605
34	56	1566
35	57	1529
36	57	1494
37	57	1462
38	58	1430
39	58	1399
40	58	1376
41	59	1348
42	59	1322
43	59	1296
44	59	1271
45	60	1249
46	60	1227
47	60	1206
48	61	1185
49	61	1168
50	61	1149
51	62	1131
52	62	1114
53	62	1098
54	62	1081
55	63	1065
56	63	1049
57	63	1034
58	63	1020
59	64	1006
60	64	993
61	64	979
62	64	966
63	65	953
64	65	941
65	65	929
66	65	918
67	66	905
68	66	894
69	66	883
70	66	873
71	67	863
72	67	853
73	67	843
74	67	835
75	68	827
76	68	819
77	68	811
78	68	803
79	69	794
80	69	786
81	69	778
82	69	771
83	70	763
84	70	755
85	70	748
86	70	740
87	70	733
88	71	726
89	71	720
90	71	713
91	71	707
92	71	701
93	72	696
94	72	690
95	72	686
96	73	680
97	73	675
98	73	670
99	73	664
100	74	659
101	74	653
102	74	648
103	74	644
104	75	639
105	75	634
106	75	630
107	75	625
108	75	621
109	76	616
110	76	612
111	76	608
112	76	603
113	77	600
114	77	596
115	77	592
116	78	589
117	78	585
118	78	581
119	78	577
120	79	574
121	79	570
122	79	566
123	79	562
124	79	558
125	80	555
126	80	552
127	80	548
128	80	545
129	80	541
130	81	538
131	81	535
132	81	532
133	81	529
134	82	526
135	82	523
136	82	520
137	82	516
138	82	513
139	83	511
140	83	508
141	83	505
142	83	502
143	84	500
144	84	497
145	84	494
146	84	492
147	85	490
148	85	487
149	85	485
150	86	483
151	86	481
152	86	479
153	86	477
154	87	474
155	87	472
156	87	470
157	87	467
158	88	465
159	88	463
160	88	461
161	88	458
162	88	456
163	89	454
164	89	452
165	89	450
166	90	449
167	90	447
168	90	445
169	91	444
170	91	442
171	91	440
172	91	439
173	92	437
174	92	435
175	92	434
176	93	432
177	93	430
178	93	429
179	93	427
180	94	425
181	94	423
182	94	422
183	94	420
184	95	419
185	95	417
186	95	416
187	95	414
188	96	413
189	96	411
190	96	409
191	97	408
192	97	406
193	97	405
194	97	404
195	98	403
196	98	401
197	98	400
198	99	399
199	99	397
200	99	396
201	99	394
202	100	393
203	100	391
204	100	390
205	100	388
206	101	387
207	101	385
208	101	384
209	101	383
210	102	382
211	102	380
212	102	379
213	102	378
214	103	376
215	103	375
216	103	374
217	104	373
218	104	371
219	104	370
220	104	369
221	105	368
222	105	366
223	105	365
224	105	364
225	105	362
226	106	361
227	106	360
228	106	358
229	106	357
230	107	356
231	107	355
232	107	354
233	107	353
234	108	352
235	108	350
236	108	349
237	108	348
238	109	347
239	109	346
240	109	345
241	109	344
242	110	343
243	110	342
244	110	341
245	110	340
246	111	338
247	111	337
248	111	336
249	111	335
250	112	334
251	112	333
252	112	332
253	112	331
254	113	330
255	113	329
256	113	329
257	114	328
258	114	327
259	114	326
260	114	325
261	115	324
262	115	323
263	115	322
264	116	321
265	116	321
266	116	320
267	116	319
268	117	318
269	117	317
270	117	316
271	117	315
272	118	314
273	118	313
274	118	313
275	118	312
276	119	311
277	119	310
278	119	309
279	120	308
280	120	307
281	120	306
282	120	306
283	121	305
284	121	304
285	121	303
286	121	302
287	121	301
288	122	300
289	122	299
290	122	298
291	122	297
292	123	296
293	123	296
294	123	295
295	123	294
296	124	293
297	124	292
298	124	291
299	124	290
300	124	290
301	125	289
302	125	288
303	125	287
304	125	286
305	126	286
306	126	285
307	126	284
308	126	283
309	127	283
310	127	282
311	127	282
312	128	281
313	128	280
314	128	279
315	129	279
316	129	278
317	129	278
318	129	277
319	130	276
320	130	275
321	130	275
322	130	274
323	131	273
324	131	272
325	131	272
326	131	271
327	132	270
328	132	269
329	132	269
330	132	268
331	133	267
332	133	266
333	133	266
334	133	265
335	134	264
336	134	264
337	134	263
338	134	262
339	134	261
340	135	261
341	135	260
342	135	259
343	135	259
344	136	258
345	136	258
346	136	257
347	136	256
348	137	255
349	137	255
350	137	254
351	137	253
352	138	253
353	138	252
354	138	252
355	138	251
356	139	250
357	139	250
358	139	249
359	139	248
360	140	248
361	140	247
362	140	247
363	141	246
364	141	245
365	141	245
366	141	244
367	141	243
368	142	243
369	142	242
370	142	241
371	143	241
372	143	240
373	143	240
374	143	239
375	143	238
376	144	238
377	144	237
378	144	236
379	144	236
380	144	235
381	145	234
382	145	234
383	145	233
384	145	233
385	146	232
386	146	231
387	146	231
388	146	230
389	147	230
390	147	229
391	147	229
392	148	228
393	148	228
394	148	227
395	148	226
396	149	226
397	149	225
398	149	225
399	149	224
400	150	224
401	150	223
402	150	222
403	150	222
404	150	221
405	151	221
406	151	220
407	151	220
408	151	219
409	152	218
410	152	218
411	152	217
412	153	217
413	153	217
414	153	216
415	153	216
416	154	215
417	154	215
418	154	214
419	155	214
420	155	213
421	155	213
422	155	212
423	156	212
424	156	211
425	156	211
426	157	210
427	157	210
428	157	209
429	157	209
430	158	208
431	158	208
432	158	207
433	158	207
434	159	206
435	159	206
436	159	205
437	160	205
438	160	205
439	160	204
440	161	204
441	161	203
442	161	203
443	162	202
444	162	202
445	162	201
446	162	201
447	163	201
448	163	200
449	163	200
450	163	199
451	164	199
452	164	198
453	164	198
454	164	197
455	165	197
456	165	196
457	165	195
458	165	195
459	166	194
460	166	194
461	166	193
462	166	193
463	166	192
464	167	192
465	167	191
466	167	191
467	167	190
468	167	190
469	168	189
470	168	189
471	168	188
472	168	188
473	169	187
474	169	187
475	169	186
476	169	186
477	170	185
478	170	185
479	170	184
480	170	184
481	171	183
482	171	183
483	171	182
484	171	182
485	171	181
486	172	181
487	172	180
488	172	180
489	172	179
490	173	179
491	173	178
492	173	178
493	173	178
494	174	177
495	174	177
496	174	176
497	174	176
498	175	175
499	175	175
500	175	174
501	175	174
502	175	173
503	176	173
504	176	173
505	176	172
506	176	172
507	177	171
508	177	171
509	177	170
510	177	170
511	178	169
512	178	169
513	178	169
514	179	168
515	179	168
516	179	167
517	180	167
518	180	167
519	180	166
520	180	166
521	181	165
522	181	165
523	181	165
524	182	164
525	182	164
526	182	164
527	183	163
528	183	163
529	183	162
530	183	162
531	184	162
532	184	161
533	184	161
534	185	160
535	185	160
536	185	159
537	185	159
538	185	159
539	186	158
540	186	158
541	186	157
542	186	157
543	187	156
544	187	156
545	187	156
546	187	155
547	188	155
548	188	154
549	188	154
550	188	153
551	189	153
552	189	153
553	189	152
554	189	152
555	190	151
556	190	151
557	190	150
558	190	150
559	190	150
560	191	149
561	191	149
562	191	148
563	191	148
564	192	148
565	192	147
566	192	147
567	193	146
568	193	146
569	193	146
570	193	145
571	194	145
572	194	144
573	194	144
574	195	144
575	195	143
576	195	143
577	195	142
578	196	142
579	196	142
580	196	141
581	196	141
582	197	140
583	197	140
584	197	140
585	197	139
586	198	139
587	198	139
588	198	138
589	199	138
590	199	137
591	199	137
592	199	137
593	200	136
594	200	136
595	200	136
596	200	135
597	201	135
598	201	134
599	201	134
600	202	134
601	202	133
602	202	133
603	202	132
604	202	132
605	203	132
606	203	131
607	203	131
608	204	130
609	204	130
610	204	130
611	204	129
612	205	129
613	205	129
614	205	128
615	205	128
616	205	127
617	206	127
618	206	127
619	206	126
620	207	126
621	207	126
622	207	125
623	208	125
624	208	124
625	208	124
626	208	124
627	208	123
628	209	123
629	209	122
630	209	122
631	209	122
632	210	121
633	210	121
634	210	121
635	210	120
636	211	120
637	211	119
638	211	119
639	211	119
640	212	118
641	212	118
642	212	118
643	213	117
644	213	117
645	213	116
646	213	116
647	213	116
648	214	115
649	214	115
650	214	115
651	214	114
652	215	114
653	215	113
654	215	113
655	215	113
656	215	112
657	216	112
658	216	111
659	216	111
660	216	111
661	217	110
662	217	110
663	217	110
664	217	109
665	217	109
666	218	108
667	218	108
668	218	108
669	218	107
670	219	107
671	219	107
672	219	106
673	219	106
674	220	106
675	220	105
676	220	105
677	221	105
678	221	104
679	221	104
680	221	103
681	222	103
682	222	103
683	222	102
684	222	102
685	223	102
686	223	101
687	223	101
688	223	101
689	224	100
690	224	100
691	224	99
692	224	99
693	225	99
694	225	98
695	225	98
696	225	98
697	225	97
698	226	97
699	226	97
700	226	96
701	226	96
702	227	95
703	227	95
704	227	95
705	227	94
706	227	94
707	228	94
708	228	93
709	228	93
710	228	93
711	229	92
712	229	92
713	229	91
714	229	91
715	230	91
716	230	90
717	230	90
718	230	90
719	230	89
720	231	89
721	231	89
722	231	88
723	231	88
724	232	88
725	232	87
726	232	87
727	232	86
728	233	86
729	233	86
730	233	85
731	233	85
732	233	85
733	234	84
734	234	84
735	234	84
736	234	83
737	235	83
738	235	83
739	235	82
740	235	82
741	236	82
742	236	81
743	236	81
744	236	81
745	236	80
746	237	80
747	237	79
748	237	79
749	237	79
750	238	78
751	238	78
752	238	78
753	238	77
754	239	77
755	239	77
756	239	76
757	239	76
758	240	76
759	240	75
760	240	75
761	240	75
762	240	74
763	241	74
764	241	74
765	241	73
766	241	73
767	242	73
768	242	72
769	242	72
770	242	72
771	243	71
772	243	71
773	243	71
774	244	70
775	244	70
776	244	70
777	244	69
778	244	69
779	245	69
780	245	68
781	245	68
782	245	68
783	246	67
784	246	67
785	246	67
786	246	66
787	247	66
788	247	66
789	247	65
790	247	65
791	248	65
792	248	64
793	248	64
794	248	64
795	248	63
796	249	63
797	249	63
798	249	62
799	249	62
800	250	62
801	250	61
802	250	61
